batch,gameID,player,loc,image,interval,time,ntags,ntag_image1,ntag_image2,ntag_image3,ntag_image4,ntag_image5,ntag_image6,uniqueID,ind,condition
batch_012219,2,2,2,4,12018,0.398633333,1,0,0,0,1,0,0,batch_012219 2 2,5,collaboration
batch_012219,2,1,2,4,9015,0.448666667,1,0,0,0,2,0,0,batch_012219 2 1,4,collaboration
batch_012219,2,2,2,4,11012,0.582166667,2,0,0,0,3,0,0,batch_012219 2 2,5,collaboration
batch_012219,2,3,1,3,19022,0.715616667,1,0,0,1,3,0,0,batch_012219 2 3,6,collaboration
batch_012219,2,1,2,4,22025,0.81575,2,0,0,1,4,0,0,batch_012219 2 1,4,collaboration
batch_012219,2,2,2,4,15016,0.832433333,3,0,0,1,5,0,0,batch_012219 2 2,5,collaboration
batch_012219,2,3,1,3,23023,1.099333333,2,0,0,2,5,0,0,batch_012219 2 3,6,collaboration
batch_012219,2,1,2,4,19016,1.132683333,3,0,0,2,6,0,0,batch_012219 2 1,4,collaboration
batch_012219,2,2,3,5,18022,1.29955,4,0,0,2,6,1,0,batch_012219 2 2,5,collaboration
batch_012219,2,3,1,3,19019,1.416316667,3,0,0,3,6,1,0,batch_012219 2 3,6,collaboration
batch_012219,2,1,2,4,22024,1.49975,4,0,0,3,7,1,0,batch_012219 2 1,4,collaboration
batch_012219,2,1,2,4,11011,1.683266667,5,0,0,3,8,1,0,batch_012219 2 1,4,collaboration
batch_012219,2,2,3,5,25024,1.716616667,5,0,0,3,8,2,0,batch_012219 2 2,5,collaboration
batch_012219,2,3,1,3,18018,1.716616667,4,0,0,4,8,2,0,batch_012219 2 3,6,collaboration
batch_012219,2,2,3,5,7007,1.8334,6,0,0,4,8,3,0,batch_012219 2 2,5,collaboration
batch_012219,2,1,2,4,11010,1.866766667,6,0,0,4,9,3,0,batch_012219 2 1,4,collaboration
batch_012219,2,3,1,3,11010,1.900116667,5,0,0,5,9,3,0,batch_012219 2 3,6,collaboration
batch_012219,2,1,2,4,12009,2.066916667,7,0,0,5,10,3,0,batch_012219 2 1,4,collaboration
batch_012219,2,2,3,5,22020,2.2004,7,0,0,5,10,4,0,batch_012219 2 2,5,collaboration
batch_012219,2,3,1,3,25024,2.317183333,6,0,0,6,10,4,0,batch_012219 2 3,6,collaboration
batch_012219,2,1,2,4,22021,2.433933333,8,0,0,6,11,4,0,batch_012219 2 1,4,collaboration
batch_012219,2,2,4,1,26032,2.801016667,8,1,0,6,11,4,0,batch_012219 2 2,5,collaboration
batch_012219,2,2,5,6,21012,3.45145,9,1,0,6,11,4,1,batch_012219 2 2,5,collaboration
batch_012219,2,1,6,2,19026,3.468133333,9,1,1,6,11,4,1,batch_012219 2 1,4,collaboration
batch_012219,2,1,6,2,14013,3.701683333,10,1,2,6,11,4,1,batch_012219 2 1,4,collaboration
batch_012219,2,3,3,5,26029,3.751733333,7,1,2,6,11,5,1,batch_012219 2 3,6,collaboration
batch_012219,2,1,6,2,12012,3.901883333,11,1,3,6,11,5,1,batch_012219 2 1,4,collaboration
batch_012219,2,2,6,2,14019,4.035366667,10,1,4,6,11,5,1,batch_012219 2 2,5,collaboration
batch_012219,2,1,6,2,9010,4.05205,12,1,5,6,11,5,1,batch_012219 2 1,4,collaboration
batch_012219,2,1,6,2,11010,4.23555,13,1,6,6,11,5,1,batch_012219 2 1,4,collaboration
batch_012219,2,3,3,5,32033,4.285616667,8,1,6,6,11,6,1,batch_012219 2 3,6,collaboration
batch_012219,2,1,6,2,10011,4.4024,14,1,7,6,11,6,1,batch_012219 2 1,4,collaboration
batch_012219,2,3,3,5,15014,4.53585,9,1,7,6,11,7,1,batch_012219 2 3,6,collaboration
batch_012219,2,1,6,2,10009,4.569216667,15,1,8,6,11,7,1,batch_012219 2 1,4,collaboration
batch_012219,2,2,5,6,9009,4.736,11,1,8,6,11,7,2,batch_012219 2 2,5,collaboration
