batch,gameID,player,travel,duration,imageID,n_tags,exit_time,uniqueID,ind,condition
batch_012219,2,1,17905,149155,4,0,167060,batch_012219 2 1,4,collaboration
batch_012219,2,1,22002,138149,2,0,327211,batch_012219 2 1,4,collaboration
batch_012219,2,1,11004,226401,1,1,564616,batch_012219 2 1,4,collaboration
batch_012219,2,2,11900,42050,4,0,53950,batch_012219 2 2,5,collaboration
batch_012219,2,2,6001,75076,5,0,135027,batch_012219 2 2,5,collaboration
batch_012219,2,2,7002,36039,1,0,178068,batch_012219 2 2,5,collaboration
batch_012219,2,2,8007,32024,6,0,218099,batch_012219 2 2,5,collaboration
batch_012219,2,2,10004,41047,2,2,269150,batch_012219 2 2,5,collaboration
batch_012219,2,2,6001,87131,6,1,362282,batch_012219 2 2,5,collaboration
batch_012219,2,2,17004,17066,4,11,396352,batch_012219 2 2,5,collaboration
batch_012219,2,2,12007,87154,3,6,495513,batch_012219 2 2,5,collaboration
batch_012219,2,3,14903,3011,4,0,17914,batch_012219 2 3,6,collaboration
batch_012219,2,3,6001,121120,3,0,145035,batch_012219 2 3,6,collaboration
batch_012219,2,3,20006,25033,1,0,190074,batch_012219 2 3,6,collaboration
batch_012219,2,3,9001,82084,5,4,281159,batch_012219 2 3,6,collaboration
batch_012219,2,3,11006,11017,1,1,303182,batch_012219 2 3,6,collaboration
batch_012219,2,3,6005,115209,6,3,424396,batch_012219 2 3,6,collaboration
batch_012219,2,3,17005,14032,5,7,455433,batch_012219 2 3,6,collaboration
batch_012219,2,3,8003,116216,4,11,579652,batch_012219 2 3,6,collaboration
batch_012219,3,1,6121,12105,2,0,18226,batch_012219 3 1,7,collaboration
batch_012219,3,1,2002,154681,2,0,174909,batch_012219 3 1,7,collaboration
batch_012219,3,1,9020,16078,3,6,200007,batch_012219 3 1,7,collaboration
batch_012219,3,1,12011,29215,1,3,241233,batch_012219 3 1,7,collaboration
batch_012219,3,1,10019,38237,6,0,289489,batch_012219 3 1,7,collaboration
batch_012219,3,1,1002,19131,6,2,309622,batch_012219 3 1,7,collaboration
batch_012219,3,1,2015,2007,6,2,313644,batch_012219 3 1,7,collaboration
batch_012219,3,1,16005,7119,4,6,336768,batch_012219 3 1,7,collaboration
batch_012219,3,1,24158,7071,5,6,367997,batch_012219 3 1,7,collaboration
batch_012219,3,1,3018,135042,5,6,506057,batch_012219 3 1,7,collaboration
batch_012219,3,2,16130,141712,3,0,157842,batch_012219 3 2,8,collaboration
batch_012219,3,2,8015,27125,6,0,192982,batch_012219 3 2,8,collaboration
batch_012219,3,2,2008,18086,6,0,213076,batch_012219 3 2,8,collaboration
batch_012219,3,2,16007,52352,4,0,281435,batch_012219 3 2,8,collaboration
batch_012219,3,2,22029,31298,3,6,334762,batch_012219 3 2,8,collaboration
batch_012219,3,2,7006,93907,6,2,435675,batch_012219 3 2,8,collaboration
batch_012219,3,3,24127,52322,1,0,76449,batch_012219 3 3,9,collaboration
batch_012219,3,3,6002,134649,5,0,217100,batch_012219 3 3,9,collaboration
